trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
659,False,"{'a': 0.1, 'e': 0.5729160487818673}",20,0,-116.65884646998155,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
660,False,"{'a': 0.1, 'e': 0.5620440600961273}",20,0,-19.396530837502,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
661,False,"{'a': 0.1, 'e': 0.5965021643526566}",25,9,-80.49066882491982,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 1}",1
662,False,"{'a': 0.1, 'e': 0.6678254268140613}",35,12,-180.2334030448717,"{0: 9, 1: 4, 2: 7, 3: 1, 4: 2}",1
663,False,"{'a': 0.1, 'e': 0.7585258129552473}",30,11,-11.659715702943032,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 0}",1
664,False,"{'a': 0.1, 'e': 0.8463753445084019}",20,0,-26.65969857092906,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
665,False,"{'a': 0.1, 'e': 0.9098487180255546}",20,0,-66.08565288289617,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
666,False,"{'a': 0.1, 'e': 0.9333927367959345}",20,0,-54.156167190739566,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
667,False,"{'a': 0.1, 'e': 0.9112325899956796}",30,0,-143.64951394449866,"{0: 14, 1: 8, 2: 6, 3: 1, 4: 1}",0
668,False,"{'a': 0.1, 'e': 0.8487834819382907}",30,0,-87.0682117286817,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
669,False,"{'a': 0.1, 'e': 0.7613225452136677}",20,0,-99.91933086032942,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
670,False,"{'a': 0.1, 'e': 0.6702467520413039}",25,0,-68.78249317755994,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
671,False,"{'a': 0.1, 'e': 0.5978334372414318}",30,0,-103.9431757521157,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
672,False,"{'a': 0.1, 'e': 0.5617864236458547}",20,0,-58.94189200260687,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
673,False,"{'a': 0.1, 'e': 0.5709029522120718}",25,12,8.389615295905932,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
674,False,"{'a': 0.1, 'e': 0.6229219500786828}",25,0,-150.36449966288077,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
675,False,"{'a': 0.1, 'e': 0.7050799317728649}",20,0,-14.045723274857021,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
676,False,"{'a': 0.1, 'e': 0.79723786357855}",30,0,-195.53793977110388,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 4}",0
677,False,"{'a': 0.1, 'e': 0.8768129560258046}",30,0,-225.53953723959154,"{0: 16, 1: 7, 2: 1, 3: 2, 4: 4}",0
678,False,"{'a': 0.1, 'e': 0.9243076514796129}",20,0,-114.99572093161176,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
679,False,"{'a': 0.1, 'e': 0.9280821342096708}",20,0,-145.66068548879966,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
680,False,"{'a': 0.1, 'e': 0.8872021729853466}",35,16,-72.19396210802456,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 0}",1
681,False,"{'a': 0.1, 'e': 0.8116655322888523}",20,0,-64.36386090051228,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
682,False,"{'a': 0.1, 'e': 0.7199520870897475}",25,0,-64.35658591518211,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
683,False,"{'a': 0.1, 'e': 0.6344979687126598}",25,15,-26.390785336159677,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
684,False,"{'a': 0.1, 'e': 0.5762021558905701}",30,22,1.5233688763781141,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
685,False,"{'a': 0.1, 'e': 0.5593105531301689}",30,0,-59.816108871729696,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
686,False,"{'a': 0.1, 'e': 0.5879298976513485}",35,0,-139.44349228615613,"{0: 23, 1: 5, 2: 2, 3: 4, 4: 1}",0
687,False,"{'a': 0.1, 'e': 0.6550245710657341}",25,0,-117.5180358553906,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
688,False,"{'a': 0.1, 'e': 0.7441413720364684}",25,0,-58.989737520828946,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
